fighter_SIG.STR._round_1,fighter_SIG.STR._round_2,fighter_SIG.STR._round_3,fighter_SIG.STR._round_4,fighter_SIG.STR._round_5,fighter_SIG.STR._round_6,fighter_SIG.STR._round_7,fighter_SIG.STR._round_8,fighter_SIG.STR._round_9,fighter_SIG.STR._round_10,fighter_SIG.STR._round_11,fighter_SIG.STR._round_12,fighter_SIG.STR._round_13,fighter_SIG.STR._round_14,fighter_SIG.STR._round_15,opponent_SIG.STR._round_1,opponent_SIG.STR._round_2,opponent_SIG.STR._round_3,opponent_SIG.STR._round_4,opponent_SIG.STR._round_5,opponent_SIG.STR._round_6,opponent_SIG.STR._round_7,opponent_SIG.STR._round_8,opponent_SIG.STR._round_9,opponent_SIG.STR._round_10,opponent_SIG.STR._round_11,opponent_SIG.STR._round_12,opponent_SIG.STR._round_13,opponent_SIG.STR._round_14,opponent_SIG.STR._round_15,fighter_SIG.STR. %_round_1,fighter_SIG.STR. %_round_2,fighter_SIG.STR. %_round_3,fighter_SIG.STR. %_round_4,fighter_SIG.STR. %_round_5,fighter_SIG.STR. %_round_6,fighter_SIG.STR. %_round_7,fighter_SIG.STR. %_round_8,fighter_SIG.STR. %_round_9,fighter_SIG.STR. %_round_10,fighter_SIG.STR. %_round_11,fighter_SIG.STR. %_round_12,fighter_SIG.STR. %_round_13,fighter_SIG.STR. %_round_14,fighter_SIG.STR. %_round_15,opponent_SIG.STR. %_round_1,opponent_SIG.STR. %_round_2,opponent_SIG.STR. %_round_3,opponent_SIG.STR. %_round_4,opponent_SIG.STR. %_round_5,opponent_SIG.STR. %_round_6,opponent_SIG.STR. %_round_7,opponent_SIG.STR. %_round_8,opponent_SIG.STR. %_round_9,opponent_SIG.STR. %_round_10,opponent_SIG.STR. %_round_11,opponent_SIG.STR. %_round_12,opponent_SIG.STR. %_round_13,opponent_SIG.STR. %_round_14,opponent_SIG.STR. %_round_15,target
10.0,19.0,32.0,37.0,12.0,33.0,2.0,33.0,38.0,37.0,22.0,26.0,12.0,5.0,29.0,25.0,13.0,11.0,15.0,31.0,24.0,13.0,20.0,21.0,15.0,13.0,11.0,8.0,7.0,11.0,0.38,0.41,0.38,0.54,0.42,0.42,0.28,0.5,0.52,0.45,0.44,0.35,0.54,0.22,0.58,0.73,0.81,0.39,0.55,0.5,0.7,0.46,0.46,0.43,0.37,0.43,0.4,0.47,0.53,0.44,44.0
33.0,41.0,38.0,29.0,37.0,37.0,22.0,9.0,26.0,27.0,12.0,5.0,5.0,29.0,45.0,13.0,20.0,11.0,21.0,21.0,15.0,19.0,13.0,11.0,8.0,8.0,7.0,7.0,11.0,12.0,0.5,0.54,0.52,0.53,0.45,0.48,0.44,0.56,0.35,0.49,0.54,0.22,0.38,0.58,0.66,0.46,0.46,0.5,0.43,0.44,0.37,0.42,0.43,0.4,0.29,0.47,0.28,0.53,0.44,0.25,47.0
37.0,33.0,22.0,9.0,16.0,26.0,27.0,36.0,12.0,5.0,5.0,17.0,29.0,45.0,33.0,21.0,15.0,19.0,12.0,13.0,11.0,8.0,9.0,8.0,7.0,2.0,7.0,11.0,12.0,21.0,0.48,0.45,0.44,0.56,0.47,0.35,0.49,0.44,0.54,0.22,0.38,0.51,0.58,0.66,0.8,0.44,0.37,0.42,0.32,0.43,0.4,0.29,0.39,0.47,0.28,1.0,0.53,0.44,0.25,0.3,23.0
37.0,33.0,22.0,9.0,16.0,26.0,27.0,36.0,12.0,5.0,5.0,17.0,29.0,45.0,33.0,21.0,15.0,19.0,12.0,13.0,11.0,8.0,9.0,8.0,7.0,2.0,7.0,11.0,12.0,21.0,0.48,0.45,0.44,0.56,0.47,0.35,0.49,0.44,0.54,0.22,0.38,0.51,0.58,0.66,0.8,0.44,0.37,0.42,0.32,0.43,0.4,0.29,0.39,0.47,0.28,1.0,0.53,0.44,0.25,0.3,3.0
35.0,25.0,10.0,22.0,31.0,29.0,31.0,26.0,10.0,9.0,12.0,21.0,29.0,11.0,6.0,13.0,20.0,11.0,21.0,21.0,15.0,19.0,13.0,11.0,8.0,8.0,7.0,7.0,11.0,12.0,0.46,0.32,0.37,0.36,0.34,0.36,0.27,0.66,0.66,0.5,0.35,0.4,0.6,0.17,0.22,0.46,0.46,0.5,0.43,0.44,0.37,0.42,0.43,0.4,0.29,0.47,0.28,0.53,0.44,0.25,39.0
8.0,15.0,7.0,18.0,0.0,25.0,24.0,15.0,8.0,1.0,12.0,20.0,9.0,7.0,19.0,25.0,13.0,11.0,15.0,31.0,24.0,13.0,20.0,21.0,15.0,13.0,11.0,8.0,7.0,11.0,0.34,0.53,0.26,0.64,0.0,0.59,0.53,0.36,0.44,0.12,0.41,0.28,0.47,0.24,0.7,0.73,0.81,0.39,0.55,0.5,0.7,0.46,0.46,0.43,0.37,0.43,0.4,0.47,0.53,0.44,6.0
15.0,17.0,8.0,18.0,1.0,29.0,12.0,10.0,20.0,27.0,9.0,11.0,7.0,19.0,24.0,13.0,20.0,11.0,21.0,21.0,15.0,19.0,13.0,11.0,8.0,8.0,7.0,7.0,11.0,12.0,0.36,0.34,0.44,0.45,0.12,0.61,0.41,0.32,0.28,0.4,0.47,0.57,0.24,0.7,0.61,0.46,0.46,0.5,0.43,0.44,0.37,0.42,0.43,0.4,0.29,0.47,0.28,0.53,0.44,0.25,46.0
1.0,29.0,12.0,10.0,7.0,20.0,27.0,24.0,9.0,11.0,11.0,7.0,19.0,24.0,22.0,21.0,15.0,19.0,12.0,13.0,11.0,8.0,9.0,8.0,7.0,2.0,7.0,11.0,12.0,21.0,0.12,0.61,0.41,0.32,0.41,0.28,0.4,0.29,0.47,0.57,0.4,0.24,0.7,0.61,0.4,0.44,0.37,0.42,0.32,0.43,0.4,0.29,0.39,0.47,0.28,1.0,0.53,0.44,0.25,0.3,3.0
1.0,29.0,12.0,10.0,7.0,20.0,27.0,24.0,9.0,11.0,11.0,7.0,19.0,24.0,22.0,21.0,15.0,19.0,12.0,13.0,11.0,8.0,9.0,8.0,7.0,2.0,7.0,11.0,12.0,21.0,0.12,0.61,0.41,0.32,0.41,0.28,0.4,0.29,0.47,0.57,0.4,0.24,0.7,0.61,0.4,0.44,0.37,0.42,0.32,0.43,0.4,0.29,0.39,0.47,0.28,1.0,0.53,0.44,0.25,0.3,1.0
25.0,4.0,20.0,34.0,17.0,5.0,26.0,10.0,24.0,11.0,14.0,13.0,13.0,11.0,10.0,13.0,20.0,11.0,21.0,21.0,15.0,19.0,13.0,11.0,8.0,8.0,7.0,7.0,11.0,12.0,0.59,0.5,0.57,0.47,0.7,0.45,0.38,0.58,0.58,0.35,0.36,0.54,0.61,0.64,0.66,0.46,0.46,0.5,0.43,0.44,0.37,0.42,0.43,0.4,0.29,0.47,0.28,0.53,0.44,0.25,1.0
